"country_code","country","usage_rank","usage_index","total_observations","last_updated","region","iso2"
"LAO","Laos","122","0.288590574312549","381","2025-08-11",,
"EGY","Egypt","123","0.281192379068744","5376","2025-08-11",,
"IND","India","124","0.267048037486808","68964","2025-08-11",,
"AZE","Azerbaijan","125","0.261155437217014","484","2025-08-11",,
"DZA","Algeria","126","0.254138096507228","1958","2025-08-11",,
"BEN","Benin","127","0.252460065377273","527","2025-08-11",,
"KHM","Cambodia","128","0.248742538061279","733","2025-08-11",,
"BWA","Botswana","129","0.247724554617436","104","2025-08-11",,
"PAK","Pakistan","130","0.239409695869517","9264","2025-08-11",,
"SUR","Suriname","131","0.236377423094878","26","2025-08-11",,
"KGZ","Kyrgyzstan","132","0.236295372867081","276","2025-08-11",,
"HND","Honduras","133","0.236029577104216","433","2025-08-11",,
"GUY","Guyana","134","0.223056386995062","31","2025-08-11",,
"CMR","Cameroon","135","0.221174112392263","937","2025-08-11",,
"NGA","Nigeria","136","0.201899027095825","6855","2025-08-11",,
"CIV","Ivory Coast","137","0.199433151535935","939","2025-08-11",,
"SWZ","Eswatini","138","0.1977668067935","40","2025-08-11",,
"ZWE","Zimbabwe","139","0.153566976836506","370","2025-08-11",,
"TLS","Timor Leste","140","0.15238997922272","34","2025-08-11",,
"LSO","Lesotho","141","0.146373037597298","55","2025-08-11",,
"COG","Republic of the Congo","142","0.128406428512271","120","2025-08-11",,
"MDG","Madagascar","143","0.121938206359533","583","2025-08-11",,
"GMB","Gambia","144","0.117635892117768","48","2025-08-11",,
"ZMB","Zambia","145","0.114080876319225","359","2025-08-11",,
"TGO","Togo","146","0.11186865281327","159","2025-08-11",,
"BGD","Bangladesh","147","0.111862311375051","3318","2025-08-11",,
"DJI","Djibouti","148","0.104397262397875","21","2025-08-11",,
"MOZ","Mozambique","149","0.0950271318168425","453","2025-08-11",,
"MRT","Mauritania","150","0.0919060118582115","67","2025-08-11",,
"UGA","Uganda","151","0.0858703413470118","608","2025-08-11",,
"UZB","Uzbekistan","152","0.0801153601568853","479","2025-08-11",,
"BFA","Burkina Faso","153","0.0800069478168959","273","2025-08-11",,
"HTI","Haiti","154","0.0685726877202466","135","2025-08-11",,
"MWI","Malawi","155","0.0605590132705102","194","2025-08-11",,
"TJK","Tajikistan","156","0.0592308402941837","98","2025-08-11",,
"AGO","Angola","157","0.0456122704656557","238","2025-08-11",,
"LBR","Liberia","158","0.043010660864071","36","2025-08-11",,
"TZA","Tanzania","159","0.0416122668080404","405","2025-08-11",,
"SLE","Sierra Leone","160","0.0408282444670335","54","2025-08-11",,
"PNG","Papua New Guinea","161","0.0390867114691308","68","2025-08-11",,
"GIN","Guinea","162","0.0359525322023027","77","2025-08-11",,
"BDI","Burundi","163","0.030510593519797","59","2025-08-11",,
"TCD","Chad","164","0.024409767566702","67","2025-08-11",,
"NER","Niger","165","0.0198179326507891","71","2025-08-11",,
"TKM","Turkmenistan","166","0.014394271013928","18","2025-08-11",,
