"state_code","state_name","usage_count","usage_pct","usage_per_capita","usage_per_capita_index","usage_tier","automation_pct","augmentation_pct","working_age_pop","gdp_per_working_age_capita"
"SD","South Dakota","140","0.0672430355427473","0.000247323605271526","0.259181843068168","1","63.4920634920635","36.5079365079365","566060","132811.892732219"
"TN","Tennessee","2376","1.14121037463977","0.000512709299653339","0.537291784568857","2","46.9982847341338","53.0017152658662","4634205","118619.806417714"
"TX","Texas","13896","6.67435158501441","0.000676816050008796","0.709266837133531","3","47.5380878781188","52.4619121218812","20531428","131963.198078575"
"UT","Utah","8340","4.00576368876081","0.00360960362310718","3.78267055728611","4","73.3993233930585","26.6006766069415","2310503","130233.027180662"
"VA","Virginia","8420","4.04418828049952","0.0014979852809603","1.56980804797033","4","50.2854366573546","49.7145633426454","5620883","136006.17554217"
"VT","Vermont","430","0.206532180595581","0.00104954845008543","1.09987035561703","4","43.6018957345972","56.3981042654028","409700","111562.606785453"
"WA","Washington","7451","3.57877041306436","0.00144042106459702","1.50948384367357","4","44.1694169416942","55.8305830583058","5172793","165226.658016279"
"WI","Wisconsin","1750","0.840537944284342","0.000462320850670365","0.484487398742378","2","46.3700234192037","53.6299765807963","3785250","119222.059309161"
"WV","West Virginia","246","0.118155619596542","0.000223640836453093","0.234363574449691","1","50.4464285714286","49.5535714285714","1099978","97874.7756773317"
"WY","Wyoming","135","0.0648414985590778","0.00036831407641835","0.385973352803329","1","53.2786885245902","46.7213114754098","366535","144450.325344101"
"not_classified","not_classified","2","0.0009606147934678",,,,,,,
