"geo_id","geo_name","usage_count","usage_pct","usage_per_capita","usage_per_capita_index","usage_tier","automation_pct","augmentation_pct","working_age_pop","gdp_per_working_age_capita"
"ABW","Aruba","0","0","0","0","0",,,"71138","55553.9936461526"
"AGO","Angola","238","0.024676151432772","1.189854480797E-05","0.0456122704656557","1","59.2760180995475","40.7239819004525","20002446","5796.59107691129"
"ALB","Albania","370","0.0383620841601917","0.000205776651135164","0.788830938452827","2","56.2841530054645","43.7158469945355","1798066","15160.1776575498"
"AND","Andorra","40","0.0041472523416423","0.000676429803497142","2.59304811185612","4","0","100","59134","68285.5886630365"
"ARE","United Arab Emirates","3011","0.312184420017128","0.000337087419160873","1.29220192733457","3","52.7588555858311","47.2411444141689","8932401","60127.0587829633"
"ARG","Argentina","6168","0.639506311081251","0.000204574739596721","0.784223491487503","2","54.4161429043996","45.5838570956004","30150350","20966.4232753517"
"ARM","Armenia","818","0.0848113103865861","0.000402109847758655","1.54146102980475","3","56.8149210903874","43.1850789096126","2034270","12551.4312259435"
"ASM","American Samoa","0","0","0","0","0",,,"30373",
"ATG","Antigua and Barbuda","0","0","0","0","0",,,"66030","33696.8044828108"
"AUS","Australia","18753","1.94433557907048","0.00106991558603937","4.10144936825887","4","46.0380434782609","53.9619565217391","17527551","102513.180535033"
"AUT","Austria","2600","0.269571402206753","0.00043469450673208","1.66637212625509","3","45.3797963978074","54.6202036021926","5981212","87151.0657037403"
"AZE","Azerbaijan","484","0.0501817533338724","6.81257398469423E-05","0.261155437217014","1","52.6539278131635","47.3460721868365","7104510","10460.3976910441"
"BDI","Burundi","59","0.0061171972039224","7.95907900235778E-06","0.030510593519797","1","100","0","7412918","639.829012003101"
"BEL","Belgium","3659","0.379369907951734","0.000485577460287885","1.86142850307557","4","48.3268265476854","51.6731734523146","7535358","88245.9731840212"
"BEN","Benin","527","0.054640049601138","6.58574407598574E-05","0.252460065377273","1","62.3481781376518","37.6518218623482","8002133","2655.41699944252"
"BFA","Burkina Faso","273","0.028304997231709","2.08708368127618E-05","0.0800069478168959","1","62.6923076923077","37.3076923076923","13080453","1832.88759188998"
"BGD","Bangladesh","3318","0.344014581739233","2.91807162991661E-05","0.111862311375051","1","57.911097295617","42.088902704383","113705228","3967.24062678983"
"BGR","Bulgaria","1558","0.16153547870697","0.000380755660685609","1.45960119130605","3","51.3852242744063","48.6147757255937","4091863","27428.0932670522"
"BHR","Bahrain","228","0.0236393383473614","0.000185350031094907","0.710526865726948","2","54.9295774647887","45.0704225352113","1230105","38161.7829372289"
"BHS","Bahamas","46","0.0047693401928887","0.000163035002906276","0.624983707499165","2","100","0","282148","52316.5147369466"
"BIH","Bosnia and Herzegovina","360","0.0373252710747811","0.000175756963271189","0.673752486066865","2","51.4204545454545","48.5795454545455","2048283","14058.1159927608"
"BLZ","Belize","38","0.0039398897245602","0.000133208071006913","0.510644172126473","2","100","0","285268","12013.2647194918"
"BMU","Bermuda","29","0.0030067579476907","0.000693995740302008","2.66038594799129","4",,,"41787",
"BOL","Bolivia","1012","0.104925484243551","0.00012625504942224","0.483990231985723","2","53.7612838515547","46.2387161484453","8015521","6038.78400418388"
"BRA","Brazil","35482","3.67882018965385","0.000241563713086305","0.92601823112018","3","63.9469833892762","36.0530166107238","146884644","14782.6004194148"
"BRB","Barbados","63","0.0065319224380867","0.000336867771379073","1.29135992235057","3","63.4615384615385","36.5384615384615","187017","38322.7193249812"
"BRN","Brunei","61","0.0063245598210045","0.00018231867511111","0.698906366645581","2","51.3513513513513","48.6486486486487","334579","46216.2897252966"
"BTN","Bhutan","60","0.0062208785124635","0.000104417195423742","0.400276288890618","2","55.8139534883721","44.1860465116279","574618","5380.96613750352"
"BWA","Botswana","104","0.0107828560882701","6.46221221407818E-05","0.247724554617436","1","56.8181818181818","43.1818181818182","1609356","12027.171116894"
"CAN","Canada","20426","2.11779440825967","0.000760054941560869","2.91361944865821","4","46.6001904093802","53.3998095906198","26874373","83397.4061459964"
"CHE","Switzerland","4311","0.446970121120505","0.000733801098199472","2.81297710764178","4","46.9022379269729","53.0977620730271","5874889","159447.778502709"
"CHL","Chile","4115","0.426648584646457","0.000302180694508903","1.1583893484359","3","50.8950770760815","49.1049229239185","13617680","24248.6238478214"
"CIV","Ivory Coast","939","0.0973567487200542","5.20246912841522E-05","0.199433151535935","1","59.6091205211726","40.3908794788274","18049122","4825.49788294411"
"CMR","Cameroon","937","0.0971493861029721","5.7696099312659E-05","0.221174112392263","1","60.3333333333333","39.6666666666667","16240266","3250.19306949775"
"COG","Republic of the Congo","120","0.012441757024927","3.34964610988849E-05","0.128406428512271","1","58.0952380952381","41.9047619047619","3582468","4157.18995954744"
"COL","Colombia","7948","0.824059040284336","0.000214847270973363","0.823602548933627","2","51.9507186858316","48.0492813141684","36993721","11313.8659395739"
"COM","Comoros","0","0","0","0","0",,,"506166","2876.52667306773"
"CPV","Cabo Verde","40","0.0041472523416423","0.000112743384781898","0.432194175244088","2","100","0","354788","7683.46167288634"
"CRI","Costa Rica","1211","0.125558064643222","0.000342246533376102","1.31197904434729","3","52.9857022708158","47.0142977291842","3538385","26951.5612348571"
"CUW","Curacao","29","0.0030067579476907","0.000272389987319776","1.04418867805112","3","100","0","106465",
"CYM","Cayman Islands","35","0.003628845798937","0.00062830984651288","2.40858349637711","4","100","0","55705",
"CYP","Cyprus","587","0.0608609281136015","0.00062350828033867","2.39017701570814","4","46.7713787085515","53.2286212914485","941447","38404.7110458688"
"CZE","Czechia","3097","0.321101012551659","0.000446370919388612","1.711132868073","3","46.748101683724","53.251898316276","6938176","49714.9394884189"
"DEU","Germany","25143","2.60685914064784","0.000478699208439454","1.83506118768492","4","45.998294554757","54.001705445243","52523588","88693.9787891109"
"DJI","Djibouti","21","0.0021773074793622","2.72333626848464E-05","0.104397262397875","1",,,"771113","5520.59166425673"
"DMA","Dominica","17","0.001762582245198","0.00037122767174739","1.42307628717217","3",,,"45794","15220.334541643"
"DNK","Denmark","2282","0.236600746090696","0.000601847688227073","2.30714259412252","4","44.1150442477876","55.8849557522124","3791657","113263.937112455"
"DOM","Dominican Republic","1131","0.117263559959937","0.000151004661651425","0.578866204227433","2","55.9963931469793","44.0036068530207","7489835","16637.616182466"
